"","column","p_value"
"1","probright_drCORTCold_t",0.981
"2","probright_drControlCold_t",0.661
"3","probright_drCORTHot_t",0.495
"4","probright_drControlHot_t",0.578
"5","probright_dbCORTCold_t",0.006
"6","probright_dbControlCold_t",0
"7","probright_dbCORTHot_t",0.029
"8","probright_dbControlHot_t",0.095
"9","probright_grCORTCold_t",0.999
"10","probright_grControlCold_t",0.911
"11","probright_grCORTHot_t",0.835
"12","probright_grControlHot_t",0.672
"13","probright_gbCORTCold_t",0.45
"14","probright_gbControlCold_t",0.036
"15","probright_gbCORTHot_t",0.137
"16","probright_gbControlHot_t",0.089
