"","Specie","Group","Treatment","Mean_Associative","95% CI_Associative","p-value_Associative","Mean_Reversal","95% CI_Reversal","p-value_Reversal"
"1","L. delicata","Red","CORT-Cold (n = 5)","0.104","0.06 , 0.151","0.000","0.045","0.018 , 0.072","0.001"
"2","L. delicata","Red","Control-Cold (n = 6)","0.067","0.032 , 0.103","0.001","0.069","0.042 , 0.097","0.000"
"3","L. delicata","Red","CORT-Hot (n = 5)","0.074","0.033 , 0.115","0.000","0.053","0.025 , 0.081","0.000"
"4","L. delicata","Red","Control-Hot (n = 5)","0.098","0.055 , 0.143","0.000","0.034","0.009 , 0.059","0.008"
"5","L. delicata","Blue","CORT-Cold (n = 6)","0.005","-0.04 , 0.052","0.855","0.038","0.014 , 0.063","0.004"
"6","L. delicata","Blue","Control-Cold (n = 6)","0.003","-0.042 , 0.049","0.881","0.057","0.032 , 0.083","0.001"
"7","L. delicata","Blue","CORT-Hot (n = 6)","0.027","-0.016 , 0.07","0.204","0.060","0.037 , 0.086","0.000"
"8","L. delicata","Blue","Control-Hot (n = 5)","0.047","0.002 , 0.095","0.042","0.059","0.031 , 0.088","0.000"
"9","L. guichenoti","Red","CORT-Cold (n = 5)","0.119","0.062 , 0.183","0.000","0.041","0.008 , 0.076","0.020"
"10","L. guichenoti","Red","Control-Cold (n = 4)","0.104","0.045 , 0.169","0.002","0.085","0.042 , 0.134","0.002"
"11","L. guichenoti","Red","CORT-Hot (n = 5)","0.081","0.029 , 0.135","0.006","0.053","0.018 , 0.088","0.006"
"12","L. guichenoti","Red","Control-Hot (n = 5)","0.080","0.028 , 0.136","0.006","0.074","0.038 , 0.113","0.001"
"13","L. guichenoti","Blue","CORT-Cold (n = 5)","0.074","0.006 , 0.143","0.034","0.056","0.021 , 0.093","0.006"
"14","L. guichenoti","Blue","Control-Cold (n = 3)","0.002","-0.085 , 0.086","0.952","0.040","-0.004 , 0.085","0.069"
"15","L. guichenoti","Blue","CORT-Hot (n = 5)","0.100","0.03 , 0.178","0.007","0.080","0.044 , 0.12","0.000"
"16","L. guichenoti","Blue","Control-Hot (n = 5)","0.057","-0.01 , 0.125","0.085","0.054","0.02 , 0.089","0.006"
